web-scraper-order,web-scraper-start-url,brand_raw,year_raw,km_raw,ps_raw,place_raw,price_raw,modell_raw,gear_raw,fuel_raw
"1671628597-194,""https://www.autolina.ch/carList/page/48?region=ZH"",""LAND ROVER"",""2019"",""65'000"",""301"",""8804 Au-Wädenswil / ZH"",""64'600"",""Range Rover Sport 2.0 Si4 HSE Automatic"",""Automat"",""Benzin"""
"1671628597-195,""https://www.autolina.ch/carList/page/48?region=ZH"",""TOYOTA"",""null"",""1'000"",""230"",""8804 Au-Wädenswil / ZH"",""63'400"",""HI-LUX 2.8 Double Cab GR-Sport"",""Automat"",""Diesel"""
"1671628600-196,""https://www.autolina.ch/carList/page/47?region=ZH"",""AUDI"",""2019"",""35'700"",""230"",""8634 Hombrechtikon / ZH"",""45'900"",""Q3 45 TFSI S line quattro"",""Automat"",""Benzin"""
"1671628600-197,""https://www.autolina.ch/carList/page/47?region=ZH"",""VW"",""null"",""15"",""300"",""8406 Winterthur / ZH"",""64'900"",""T-Roc R"",""Automat"",""Benzin"""
"1671628600-198,""https://www.autolina.ch/carList/page/47?region=ZH"",""FERRARI"",""null"",""200"",""796"",""8048 Zürich / ZH"",""3'300'000"",""Monza SP2"",""Automat"",""Benzin"""
"1671628600-199,""https://www.autolina.ch/carList/page/47?region=ZH"",""PORSCHE"",""2019"",""87'700"",""680"",""8048 Zürich / ZH"",""127'000"",""Panamera Turbo S E-Hybrid Sport Turismo PDK"",""Automat"",""Plug-in-Hybrid Benzin/Elektro"""
"1671628600-200,""https://www.autolina.ch/carList/page/47?region=ZH"",""PORSCHE"",""2017"",""18'000"",""440"",""8048 Zürich / ZH"",""124'900"",""Panamera TECH ART"",""Automat"",""Benzin"""
"1671628600-201,""https://www.autolina.ch/carList/page/47?region=ZH"",""PORSCHE"",""2019"",""15'000"",""450"",""8048 Zürich / ZH"",""159'000"",""911 Carrera S TECH ART"",""Automat"",""Benzin"""
"1671628600-202,""https://www.autolina.ch/carList/page/47?region=ZH"",""PORSCHE"",""null"",""10"",""480"",""8048 Zürich / ZH"",""237'960"",""911 Targa 4 GTS PDK"",""Automat"",""Benzin"""
"1671628600-203,""https://www.autolina.ch/carList/page/47?region=ZH"",""PORSCHE"",""null"",""10"",""640"",""8048 Zürich / ZH"",""258'000"",""Cayenne Turbo GT"",""Automat"",""Benzin"""
